xmin,ymin,xmax,ymax,label,confidence
101,126,127,150,30,0.934575080871582
200,221,221,246,15,0.7006734013557434
0,0,0,0,0,-1.0
233,2,255,20,135,0.4750106930732727
18,72,43,97,97,0.9870457053184509
174,223,204,252,89,0.7173435688018799
200,221,221,246,81,0.40820959210395813
191,210,216,236,79,0.6846689581871033
103,88,128,113,68,0.9130592942237854
194,2,223,25,33,0.9717855453491211
102,125,128,149,30,0.9434487819671631
200,221,221,246,15,0.7147524356842041
0,0,0,0,0,-1.0
233,1,255,18,145,0.25007402896881104
233,2,255,19,135,0.4621276557445526
174,221,203,248,107,0.28550833463668823
18,73,43,97,97,0.9848698973655701
174,222,204,252,89,0.31107035279273987
191,209,215,237,79,0.7208178043365479
102,89,127,113,68,0.9165882468223572
194,2,222,25,33,0.9945098161697388
101,125,128,149,30,0.9359753727912903
201,221,223,246,15,0.7790944576263428
0,0,0,0,0,-1.0
233,2,255,19,135,0.44530296325683594
18,73,42,97,97,0.9864113926887512
175,222,205,251,89,0.5422542691230774
191,210,215,237,79,0.4064534306526184
103,89,128,113,68,0.9310314655303955
174,221,204,248,51,0.2936982810497284
193,2,222,25,33,0.9953140616416931
102,125,128,149,30,0.9308237433433533
199,221,225,247,15,0.6750871539115906
0,0,0,0,0,-1.0
233,2,255,20,135,0.437506765127182
191,2,222,28,123,0.26623550057411194
18,74,43,98,97,0.9812037348747253
173,222,204,252,89,0.5827510356903076
36,16,62,47,86,0.6635600328445435
190,211,216,236,79,0.4012293219566345
103,88,129,113,68,0.9631245732307434
194,2,222,26,33,0.9972009062767029
102,125,128,149,30,0.9498233795166016
201,221,223,247,15,0.7085058689117432
0,0,0,0,0,-1.0
233,2,255,19,135,0.47162488102912903
192,2,221,27,123,0.3279697597026825
18,75,43,98,97,0.9851680397987366
173,222,205,251,89,0.8276780247688293
36,17,62,47,86,0.7656925320625305
191,210,216,236,79,0.44444629549980164
104,89,129,113,68,0.9460957646369934
194,2,221,26,33,0.9945060610771179
102,125,127,149,30,0.9380070567131042
200,219,226,246,15,0.9045299291610718
0,0,0,0,0,-1.0
233,2,255,19,135,0.4782703220844269
19,75,43,99,97,0.9929865598678589
173,221,202,247,89,0.3111160099506378
37,17,63,47,86,0.9289686679840088
191,211,216,236,79,0.7191218733787537
104,89,130,113,68,0.9200021028518677
195,2,222,26,33,0.9813500642776489
102,125,128,149,30,0.9540770053863525
200,220,226,246,15,0.8687925338745117
0,0,0,0,0,-1.0
233,2,255,20,135,0.48632195591926575
19,76,43,99,97,0.9750187397003174
173,220,202,246,89,0.2670574188232422
37,17,63,47,86,0.968295156955719
